id,scope,metric,claim,status,paper_evidence,experimental_evidence
headline_methods_pawc,main,pawc,"Quotation Addition, Statistics Addition, and Cite Sources all outperform baseline on PAWC.",FAIL,Table 1; Section 4,"{""baseline"": 0.21267653333333333, ""observed"": {""quotation"": 0.24251219333333335, ""statistics"": 0.17913518666666667, ""citation"": 0.25954039333333334}}"
table1_pawc_order,main,pawc,The qualitative PAWC strategy ordering agrees with Table 1.,FAIL,Table 1 PAWC Overall column,"{""pairwise_concordance"": 0.7333333333333333, ""required"": 0.8}"
quotation_beats_baseline_pawc,main,pawc,Quotation Addition outperforms the baseline on PAWC.,PASS,Table 1: 27.2 > 19.3,"{""left_mean"": 0.24251219333333335, ""right_mean"": 0.21267653333333333, ""relative_change"": 0.14028656350739846}"
statistics_beats_baseline_pawc,main,pawc,Statistics Addition outperforms the baseline on PAWC.,FAIL,Table 1: 25.2 > 19.3,"{""left_mean"": 0.17913518666666667, ""right_mean"": 0.21267653333333333, ""relative_change"": -0.15771061405301573}"
citation_beats_baseline_pawc,main,pawc,Cite Sources outperforms the baseline on PAWC.,PASS,Table 1: 24.6 > 19.3,"{""left_mean"": 0.25954039333333334, ""right_mean"": 0.21267653333333333, ""relative_change"": 0.22035275479382152}"
fluency_beats_baseline_pawc,main,pawc,Fluency Optimization improves PAWC over baseline.,PASS,Table 1: 24.7 > 19.3; Section 4,"{""left_mean"": 0.26661898, ""right_mean"": 0.21267653333333333, ""relative_change"": 0.25363610089563243}"
easy_beats_baseline_pawc,main,pawc,Easy-to-Understand improves PAWC over baseline.,FAIL,Table 1: 22.0 > 19.3; Section 4,"{""left_mean"": 0.19791939333333333, ""right_mean"": 0.21267653333333333, ""relative_change"": -0.06938772119663415}"
authoritative_limited_pawc,main,pawc,Authoritative produces limited PAWC improvement.,PASS,Section 4: no significant improvement; Table 1,"{""left_mean"": 0.22379396, ""right_mean"": 0.21267653333333333, ""relative_change"": 0.05227387569479528}"
keyword_not_improve_pawc,main,pawc,Keyword Stuffing provides little or no PAWC improvement.,PASS,Table 1: 17.7 < 19.3; Section 4,"{""left_mean"": 0.1442825533333333, ""right_mean"": 0.21267653333333333, ""relative_change"": -0.3215868668162105}"
quotation_beats_baseline_subjective,main,subjective_impression_calibrated,Quotation Addition improves Subjective Impression.,PASS,Table 1: 24.7 > 19.3,"{""left_mean"": 0.2713372879834896, ""right_mean"": 0.2074118069413025, ""relative_change"": 0.30820560307002187}"
statistics_beats_baseline_subjective,main,subjective_impression_calibrated,Statistics Addition improves Subjective Impression.,FAIL,Table 1: 23.7 > 19.3,"{""left_mean"": 0.18977094987961793, ""right_mean"": 0.2074118069413025, ""relative_change"": -0.08505232812844132}"
citation_beats_baseline_subjective,main,subjective_impression_calibrated,Cite Sources improves Subjective Impression.,PASS,Table 1: 21.9 > 19.3,"{""left_mean"": 0.25422075266220007, ""right_mean"": 0.2074118069413025, ""relative_change"": 0.22568120113887477}"
lower_rank_benefit,rank_analysis,pawc,Lower-ranked sources benefit more from GEO.,NOT_TESTED,Table 2; Section 5.2,"{""reason"": ""Requires separate rank_analysis experiment.""}"
domain_specificity,tag_analysis,pawc,The most effective GEO method varies by domain and query type.,NOT_TESTED,Table 3; Section 5.1,"{""reason"": ""Requires separate tag_analysis experiment.""}"
combination_best,pairwise,pawc,Fluency plus Statistics is the strongest tested pair.,NOT_TESTED,Figure 4; Section 5.3,"{""reason"": ""Requires separate pairwise experiment.""}"
perplexity_generalization,perplexity,pawc,High-performing GEO methods generalize to Perplexity.ai.,NOT_TESTED,Table 5; Section 6,"{""reason"": ""Requires separate perplexity experiment.""}"
