id,scope,metric,claim,status,paper_evidence,experimental_evidence
headline_methods_pawc,main,pawc,"Quotation Addition, Statistics Addition, and Cite Sources all outperform baseline on PAWC.",PASS,Table 1; Section 4,"{""baseline"": 0.07261246666666667, ""observed"": {""quotation"": 0.1189942, ""statistics"": 0.08777626666666666, ""citation"": 0.15150860000000002}}"
table1_pawc_order,main,pawc,The qualitative PAWC strategy ordering agrees with Table 1.,FAIL,Table 1 PAWC Overall column,"{""pairwise_concordance"": 0.5777777777777777, ""required"": 0.8}"
quotation_beats_baseline_pawc,main,pawc,Quotation Addition outperforms the baseline on PAWC.,PASS,Table 1: 27.2 > 19.3,"{""left_mean"": 0.1189942, ""right_mean"": 0.07261246666666667, ""relative_change"": 0.6387571647476511}"
statistics_beats_baseline_pawc,main,pawc,Statistics Addition outperforms the baseline on PAWC.,PASS,Table 1: 25.2 > 19.3,"{""left_mean"": 0.08777626666666666, ""right_mean"": 0.07261246666666667, ""relative_change"": 0.2088319085703372}"
citation_beats_baseline_pawc,main,pawc,Cite Sources outperforms the baseline on PAWC.,PASS,Table 1: 24.6 > 19.3,"{""left_mean"": 0.15150860000000002, ""right_mean"": 0.07261246666666667, ""relative_change"": 1.0865370225682094}"
fluency_beats_baseline_pawc,main,pawc,Fluency Optimization improves PAWC over baseline.,PASS,Table 1: 24.7 > 19.3; Section 4,"{""left_mean"": 0.24912966666666667, ""right_mean"": 0.07261246666666667, ""relative_change"": 2.4309489555053445}"
easy_beats_baseline_pawc,main,pawc,Easy-to-Understand improves PAWC over baseline.,PASS,Table 1: 22.0 > 19.3; Section 4,"{""left_mean"": 0.08583066666666667, ""right_mean"": 0.07261246666666667, ""relative_change"": 0.18203761153961623}"
authoritative_limited_pawc,main,pawc,Authoritative produces limited PAWC improvement.,FAIL,Section 4: no significant improvement; Table 1,"{""left_mean"": 0.13336746666666668, ""right_mean"": 0.07261246666666667, ""relative_change"": 0.8367020539172798}"
keyword_not_improve_pawc,main,pawc,Keyword Stuffing provides little or no PAWC improvement.,FAIL,Table 1: 17.7 < 19.3; Section 4,"{""left_mean"": 0.12299833333333332, ""right_mean"": 0.07261246666666667, ""relative_change"": 0.6939010472949088}"
quotation_beats_baseline_subjective,main,subjective_impression_calibrated,Quotation Addition improves Subjective Impression.,PASS,Table 1: 24.7 > 19.3,"{""left_mean"": 0.1665480709435866, ""right_mean"": 0.07298605257300178, ""relative_change"": 1.2819164083028416}"
statistics_beats_baseline_subjective,main,subjective_impression_calibrated,Statistics Addition improves Subjective Impression.,PASS,Table 1: 23.7 > 19.3,"{""left_mean"": 0.11214112606991881, ""right_mean"": 0.07298605257300178, ""relative_change"": 0.5364733687680057}"
citation_beats_baseline_subjective,main,subjective_impression_calibrated,Cite Sources improves Subjective Impression.,PASS,Table 1: 21.9 > 19.3,"{""left_mean"": 0.08015677929648361, ""right_mean"": 0.07298605257300178, ""relative_change"": 0.09824790450626933}"
lower_rank_benefit,rank_analysis,pawc,Lower-ranked sources benefit more from GEO.,NOT_TESTED,Table 2; Section 5.2,"{""reason"": ""Requires separate rank_analysis experiment.""}"
domain_specificity,tag_analysis,pawc,The most effective GEO method varies by domain and query type.,NOT_TESTED,Table 3; Section 5.1,"{""reason"": ""Requires separate tag_analysis experiment.""}"
combination_best,pairwise,pawc,Fluency plus Statistics is the strongest tested pair.,NOT_TESTED,Figure 4; Section 5.3,"{""reason"": ""Requires separate pairwise experiment.""}"
perplexity_generalization,perplexity,pawc,High-performing GEO methods generalize to Perplexity.ai.,NOT_TESTED,Table 5; Section 6,"{""reason"": ""Requires separate perplexity experiment.""}"
